Id,Prediction
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,1
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,1
81,1
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,1
91,0
92,1
93,0
94,1
95,1
96,0
97,0
98,1
99,1
100,1
101,0
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,1
128,0
129,0
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,0
230,1
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,1
269,1
270,1
271,0
272,1
273,0
274,1
275,1
276,0
277,1
278,1
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,1
288,0
289,1
290,0
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,0
318,0
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,1
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,0
343,1
344,1
345,1
346,0
347,1
348,1
349,0
350,1
351,0
352,1
353,1
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,0
362,1
363,1
364,1
365,0
366,1
367,1
368,0
369,0
370,0
371,0
372,1
373,1
374,1
375,0
376,0
377,0
378,1
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,0
387,1
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,0
400,0
401,1
402,1
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,0
418,1
419,1
